,Price,0
0,21520,17396.534860605767
1,17135,16987.29126866191
2,14752,16014.41494774992
3,25735,25751.87893627858
4,22270,22343.457951821278
5,31825,31953.176089211505
6,25735,26510.795503373454
7,20800,23501.166620621596
8,27992,27808.421041237823
9,15676,13574.866175241754
10,26890,30808.728115453516
11,23267,14590.128135489522
12,14306,14467.528074288044
13,26890,26931.590152864894
14,21730,18194.699815221178
15,27992,31320.85965423958
16,26480,26556.11649030495
17,26890,26400.16828678758
18,31825,32270.563913490685
19,31825,32450.86647683889
20,7744,7742.5661958827495
21,20999,18818.049613113162
22,27992,27716.680009706586
23,17461,17653.99263847743
24,57209,60692.2897625359
25,26890,26523.79882927566
26,10067,11955.599636122402
27,31825,31327.010353758407
28,27992,28437.160053935622
29,11934,12831.5558249471
30,25735,25479.00681115144
31,14306,14079.498241270554
32,13366,13635.603156962035
33,22270,23704.557328437753
34,12649,13718.862485211488
35,18308,17704.982406808384
36,27992,27994.26273326665
37,20800,24618.551124661037
38,25735,27322.199425021638
39,22270,23393.922660890014
40,25735,27386.44173732348
41,11213,11817.929221757342
42,26890,25533.09117709011
43,25703,15417.8313556662
44,18387,19047.080273221334
45,54826,30538.553910839335
46,20800,23486.76229525855
47,25735,25578.20470629373
48,22153,25088.672752673192
49,26890,28155.484562847883
50,22270,26144.07547168749
51,36235,32070.069341464932
52,23677,23686.94289491269
53,12599,14450.976262249751
54,26890,27006.30906143157
55,27992,27837.99443601322
56,26890,25142.49475077818
57,11003,11590.772634290774
58,36235,31798.425992434095
59,12649,14077.477287664758
60,26890,25139.264310319708
61,31825,28165.910828784545
62,7917,8216.122586275746
63,26890,24990.56104211291
64,31825,28450.24977145855
65,18558,12425.882839399143
66,19685,14338.18943137247
67,11628,9330.738631092143
68,25735,25090.983335014862
69,26890,26476.486057791633
70,13576,15403.160280620288
71,12648,14724.445142645232
72,22270,23043.783362307717
73,26890,26906.377895282512
74,14594,15116.138594250491
75,15119,15200.858295741928
76,19372,18912.433787291684
77,10067,11954.36079375435
78,14594,14412.642185046367
79,62427,62867.31833562967
80,8110,8826.173050621006
81,26092,15315.171547871123
82,14069,14591.916685469652
83,10715,11560.898410066477
84,22270,26387.34540757983
85,22270,23013.701506492194
86,25430,24987.508439181183
87,12704,12449.153529257075
88,17345,16325.527791698201
89,22270,23831.41565449517
90,12371,19884.01282452741
91,79512,78979.58518203232
92,12704,13113.533625216758
93,26890,26742.382182831298
94,25735,26119.17377568573
95,52229,53588.515121817785
96,12346,15242.407986497436
97,13663,12629.964624035802
98,27992,27918.13583285021
99,8064,7826.857585427281
100,26890,26875.715661390183
101,14887,20207.525051959652
102,26890,22083.93810692831
103,26890,26059.602578095408
104,21130,16730.378632385815
105,11111,12167.336389399537
106,27992,27910.1110231651
107,10246,10951.185272411556
108,14305,14514.469019259752
109,8707,14916.122329722824
110,10981,10925.645293457012
111,26890,26062.28975320465
112,21730,17032.27880773596
113,13081,12988.6042138164
114,35185,34651.12705922917
115,31783,31137.581426839984
116,11690,11599.564708557642
117,17198,18324.75136753678
118,25735,26703.620055471096
119,10067,11840.79990603475
120,12649,13371.078745799867
121,17686,16109.282049202578
122,14069,13375.781335723907
123,20800,23272.765784968207
